sample-id	description	site	host_genus	host_species	host_species_ITS	latitude	longitude	Type
Sample93	Stereocaulon ramulosum 1	Volcan de Cerro Machin	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.486324	-75.390939	Fruticoso/Escamuloso
Sample95	Stereocaulon tomentosum 1	Volcan de Cerro Machin	Stereocaulon	tomentosum	Stereocaulon_atlanticum	4.486324	-75.390939	Fruticoso/Escamuloso
Sample96	Stereocaulon ramulosum 3	Volcan de Cerro Machin	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.486324	-75.390939	Fruticoso/Escamuloso
Sample97	Stereocaulon aff. pomiferum 2	Volcan de Cerro Machin	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.486324	-75.390939	Fruticoso/Escamuloso
Sample99	Stereocaulon pomiferum 3	Volcan de Cerro Machin	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.486324	-75.390939	Fruticoso/Escamuloso
Sample100	Stereocaulon tomentosum 4	Volcan de Cerro Machin	Stereocaulon	tomentosum	Stereocaulon_atlanticum	4.486324	-75.390939	Fruticoso/Escamuloso
Sample101	Sticta andina 2	Volcan de Cerro Machin	Sticta	andina	Sticta_sp	4.486324	-75.390939	Folioso
Sample103	Sticta andina 1	Volcan de Cerro Machin	Sticta	andina	Sticta_sp	4.486324	-75.390939	Folioso
Sample105	Sticta humboldtii 1	Paramo de Sumapaz	Sticta	humboldtii	Sticta_arachnofuliginosa	4.327186	-74.207131	Folioso
Sample106	Sticta humboldtii 2	Paramo de Sumapaz	Sticta	humboldtii	Sticta_arachnofuliginosa	4.327186	-74.207131	Folioso
Sample107	Sticta humboldtii 4	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.300793	-74.211337	Folioso
Sample108	Sticta gyalocarpa 1	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.327186	-74.207131	Folioso
Sample109	Sticta gyalocarpa 2	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.323409	-74.205844	Folioso
Sample110	Sticta gyalocarpa 3	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.322795	-74.206467	Folioso
Sample111	Sticta gyalocarpa 4	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.322795	-74.206467	Folioso
Sample112	Sticta impressula 1	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.327186	-74.207131	Folioso
Sample113	Sticta impressula 2	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.327186	-74.207131	Folioso
Sample114	Sticta impressula 3	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.323409	-74.205844	Folioso
Sample115	Sticta impressula 4	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.322795	-74.206467	Folioso
Sample116	Cora 1	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.322795	-74.206467	Folioso
Sample117	Cora 2	Paramo de Sumapaz	Cora	cora	Cora_sp	4.322795	-74.206467	Folioso
Sample118	Cora 3	Paramo de Sumapaz	Cora	cora	Cora_sp	4.322795	-74.206467	Folioso
Sample119	Cora 4	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.322795	-74.206467	Folioso
Sample120	Cora 5	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.322795	-74.206467	Folioso
Sample121	Cora 6	Paramo de Sumapaz	Cora	cora	Cora_sp	4.322795	-74.206467	Folioso
Sample122	Cora 7	Paramo de Sumapaz	Cora	cora	Cora_sp	4.322795	-74.206467	Folioso
Sample123	Cora 8	Paramo de Sumapaz	Cora	cora	Cora_sp	4.322795	-74.206467	Folioso
Sample124	Cora 9	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.322795	-74.206467	Folioso
Sample125	Cora 10	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.322795	-74.206467	Folioso
Sample129	Sticta andina 3	Volcan de Cerro Machin	Sticta	andina	Sticta_rhizinata	4.486324	-75.390939	Folioso
Sample130	Sticta humboldtii 3	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.300793	-74.211337	Folioso
Sample135	Stereocaulon pomiferum 1	Paramo de Sumapaz	Stereocaulon	pomiferum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample136	Stereocaulon pomiferum 2	Paramo de Sumapaz	Stereocaulon	pomiferum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample137	Stereocaulon pomiferum 3	Paramo de Sumapaz	Stereocaulon	pomiferum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample138	Stereocaulon pomiferum 4	Paramo de Sumapaz	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.300793	-74.211337	Fruticoso/Escamuloso
Sample139	Stereocaulon ramulosum 1	Paramo de Sumapaz	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.300793	-74.211337	Fruticoso/Escamuloso
Sample140	Stereocaulon ramulosum 2	Paramo de Sumapaz	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.300793	-74.211337	Fruticoso/Escamuloso
Sample141	Stereocaulon ramulosum 3	Paramo de Sumapaz	Stereocaulon	ramulosum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample142	Stereocaulon ramulosum 4	Paramo de Sumapaz	Stereocaulon	ramulosum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample143	Stereocaulon tomentosum 1	Paramo de Sumapaz	Stereocaulon	tomentosum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample144	Stereocaulon tomentosum 2	Paramo de Sumapaz	Stereocaulon	tomentosum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample145	Stereocaulon tomentosum 3	Paramo de Sumapaz	Stereocaulon	tomentosum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample146	Stereocaulon tomentosum 4	Paramo de Sumapaz	Stereocaulon	tomentosum	Stereocaulon_sp	4.300793	-74.211337	Fruticoso/Escamuloso
Sample148	Sticta humboldtii 1	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.313647	-74.207568	Folioso
Sample149	Sticta humboldtii 2	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.322795	-74.206467	Folioso
Sample150	Sticta humboldtii 3	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.322795	-74.206467	Folioso
Sample151	Sticta humboldtii 4	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.322795	-74.206467	Folioso
Sample152	Sustrato de Sticta humboldtii 4	Paramo de Sumapaz	Sustrato	sustrato	Sticta_macrofuliginosa_sustrato	4.322795	-74.206467	Folioso
Sample153	Sticta gyalocarpa 1	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.313647	-74.207568	Folioso
Sample154	Sticta gyalocarpa 2	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_minutula	4.322795	-74.206467	Folioso
Sample155	Sticta gyalocarpa 3	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.323409	-74.205844	Folioso
Sample156	Sticta gyalocarpa 4	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.313647	-74.207568	Folioso
Sample158	Sticta impressula 1	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.313647	-74.207568	Folioso
Sample159	Sticta impressula 2	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.322795	-74.206467	Folioso
Sample160	Sticta impressula 3	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.323409	-74.205844	Folioso
Sample161	Sticta impressula 4	Paramo de Sumapaz	Sticta	impressula	Sticta_sp	4.323409	-74.205844	Folioso
Sample163	Cora 11	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.323409	-74.205844	Folioso
Sample164	Cora 12	Paramo de Sumapaz	Cora	cora	Cora_sp	4.323409	-74.205844	Folioso
Sample165	Cora 13	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.323409	-74.205844	Folioso
Sample166	Cora 14	Paramo de Sumapaz	Cora	cora	Cora_sp	4.323409	-74.205844	Folioso
Sample167	Cora 15	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.323409	-74.205844	Folioso
Sample168	Cora 16	Paramo de Sumapaz	Cora	cora	Cora_sp	4.323409	-74.205844	Folioso
Sample169	Cora 17	Paramo de Sumapaz	Cora	cora	Cora_putumayensis	4.323409	-74.205844	Folioso
Sample170	Cora 18	Paramo de Sumapaz	Cora	cora	Cora_celestinoa	4.323409	-74.205844	Folioso
Sample171	Cora 19	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.323409	-74.205844	Folioso
Sample172	Cora 20	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.323409	-74.205844	Folioso
